artifact,analysis,model,outcome,field,reported_value,reproduced_value,difference,tolerance,judgement,metric,comparison,threshold
mimic_primary_temporal_results.csv,scope_corrected_primary,laboratory_extended_multiclass_hgb,death_first,calibration_intercept,0.1258329795882506,0.280072375100164,0.15423939551191337,1e-10,DIFFERENCE,,,
mimic_primary_temporal_results.csv,scope_corrected_primary,laboratory_extended_multiclass_hgb,death_first,calibration_slope,1.0200266544165182,1.0530522057866205,0.033025551370102324,1e-10,DIFFERENCE,,,
mimic_primary_temporal_results.csv,scope_corrected_primary,laboratory_extended_multiclass_hgb,death_first,multiclass_log_loss,0.7103083303368553,0.7104278463025914,0.00011951596573611667,1e-10,DIFFERENCE,,,
mimic_primary_temporal_results.csv,scope_corrected_primary,laboratory_extended_multiclass_hgb,death_first,multiclass_brier,0.4769591455719306,0.4785717582662793,0.001612612694348703,1e-10,DIFFERENCE,,,
mimic_primary_temporal_results.csv,scope_corrected_primary,laboratory_extended_multiclass_hgb,durable_liberation_alive,training_n,8590.0,8590.0,0.0,1e-10,match,,,
mimic_primary_temporal_results.csv,scope_corrected_primary,laboratory_extended_multiclass_hgb,durable_liberation_alive,training_subjects,7795.0,7795.0,0.0,1e-10,match,,,
mimic_primary_temporal_results.csv,scope_corrected_primary,laboratory_extended_multiclass_hgb,durable_liberation_alive,test_n,689.0,689.0,0.0,1e-10,match,,,
mimic_primary_temporal_results.csv,scope_corrected_primary,laboratory_extended_multiclass_hgb,durable_liberation_alive,test_subjects,652.0,652.0,0.0,1e-10,match,,,
mimic_primary_temporal_results.csv,scope_corrected_primary,laboratory_extended_multiclass_hgb,durable_liberation_alive,test_events,231.0,231.0,0.0,1e-10,match,,,
mimic_primary_temporal_results.csv,scope_corrected_primary,laboratory_extended_multiclass_hgb,durable_liberation_alive,prevalence,0.3352685050798258,0.3352685050798258,0.0,1e-10,match,,,
mimic_primary_temporal_results.csv,scope_corrected_primary,laboratory_extended_multiclass_hgb,durable_liberation_alive,auroc,0.6885385357001077,0.6746913930320043,-0.013847142668103385,1e-10,DIFFERENCE,,,
mimic_primary_temporal_results.csv,scope_corrected_primary,laboratory_extended_multiclass_hgb,durable_liberation_alive,auprc,0.4587816316576274,0.4652831594535352,0.006501527795907791,1e-10,DIFFERENCE,,,
mimic_primary_temporal_results.csv,scope_corrected_primary,laboratory_extended_multiclass_hgb,durable_liberation_alive,brier,0.2132653787486717,0.2154434070599279,0.002178028311256186,1e-10,DIFFERENCE,,,
mimic_primary_temporal_results.csv,scope_corrected_primary,laboratory_extended_multiclass_hgb,durable_liberation_alive,calibration_intercept,-0.5385386617281409,-0.5430179337758081,-0.004479272047667182,1e-10,DIFFERENCE,,,
mimic_primary_temporal_results.csv,scope_corrected_primary,laboratory_extended_multiclass_hgb,durable_liberation_alive,calibration_slope,0.7655010154394705,0.7591192902516672,-0.006381725187803222,1e-10,DIFFERENCE,,,
mimic_primary_temporal_results.csv,scope_corrected_primary,laboratory_extended_multiclass_hgb,durable_liberation_alive,multiclass_log_loss,0.7103083303368553,0.7104278463025914,0.00011951596573611667,1e-10,DIFFERENCE,,,
mimic_primary_temporal_results.csv,scope_corrected_primary,laboratory_extended_multiclass_hgb,durable_liberation_alive,multiclass_brier,0.4769591455719306,0.4785717582662793,0.001612612694348703,1e-10,DIFFERENCE,,,
mimic_primary_temporal_results.csv,scope_corrected_primary,laboratory_extended_multiclass_hgb,restart_first,training_n,8590.0,8590.0,0.0,1e-10,match,,,
mimic_primary_temporal_results.csv,scope_corrected_primary,laboratory_extended_multiclass_hgb,restart_first,training_subjects,7795.0,7795.0,0.0,1e-10,match,,,
mimic_primary_temporal_results.csv,scope_corrected_primary,laboratory_extended_multiclass_hgb,restart_first,test_n,689.0,689.0,0.0,1e-10,match,,,
mimic_primary_temporal_results.csv,scope_corrected_primary,laboratory_extended_multiclass_hgb,restart_first,test_subjects,652.0,652.0,0.0,1e-10,match,,,
mimic_primary_temporal_results.csv,scope_corrected_primary,laboratory_extended_multiclass_hgb,restart_first,test_events,320.0,320.0,0.0,1e-10,match,,,
mimic_primary_temporal_results.csv,scope_corrected_primary,laboratory_extended_multiclass_hgb,restart_first,prevalence,0.4644412191582003,0.4644412191582003,0.0,1e-10,match,,,
mimic_primary_temporal_results.csv,scope_corrected_primary,laboratory_extended_multiclass_hgb,restart_first,auroc,0.6849254742547426,0.6798102981029811,-0.005115176151761491,1e-10,DIFFERENCE,,,
mimic_primary_temporal_results.csv,scope_corrected_primary,laboratory_extended_multiclass_hgb,restart_first,auprc,0.6083482866236671,0.5938507270623476,-0.014497559561319484,1e-10,DIFFERENCE,,,
mimic_primary_temporal_results.csv,scope_corrected_primary,laboratory_extended_multiclass_hgb,restart_first,brier,0.2262654387384475,0.225992499134666,-0.0002729396037815246,1e-10,DIFFERENCE,,,
mimic_primary_temporal_results.csv,scope_corrected_primary,laboratory_extended_multiclass_hgb,restart_first,calibration_intercept,0.4657993135033894,0.463801106845241,-0.0019982066581483715,1e-10,DIFFERENCE,,,
